parent_ticker,parent_cik10,parent_name,incorp_country_iso3,incorp_state_or_region,legal_form,latest_20f_year,latest_20f_accession,sources_used,lineage
AACG,0001420529,ATA Creativity Global,CYM,Cayman Islands,,2025.0,000141057825000679.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\AACG""}"
AAM,0002012964,AA Mission Acquisition Corp.,CYM,Cayman Islands,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\AAM\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
AAPG,0002023311,ASCENTAGE PHARMA GROUP INTERNATIONAL,CYM,Cayman Islands,,2025.0,000121390025032599.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\AAPG""}"
ABLV,0001957489,Able View Global Inc.,CYM,Cayman Islands,Corporation,2025.0,000121390025034677.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\ABLV""}"
ACMR,0001680062,"ACM Research, Inc.",USA,CA,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\ACMR\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
ADAG,0001818838,Adagene Inc.,CYM,Cayman Islands,Corporation,2025.0,000141057825000419.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\ADAG""}"
AEHL,0001470683,Antelope Enterprise Holdings Limited,VGB,British Virgin Islands,Limited,2025.0,000164117225008020.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\AEHL""}"
AGMH,0001705402,AGM Group Holdings Inc.,VGB,British Virgin Islands,Corporation,2025.0,000121390025042324.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\AGMH""}"
AHG,0001702318,Akso Health Group,CYM,Cayman Islands,,2025.0,000121390025076862.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\AHG""}"
AIFU,0001413855,AIFU Inc.,CYM,Cayman Islands,Corporation,2025.0,000121390025035604.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\AIFU""}"
AIHS,0001711012,Senmiao Technology Ltd,USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\AIHS\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
AIXI,0001935172,XIAO-I CORPORATION,CYM,Cayman Islands,Corporation,2025.0,000121390025044439.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\AIXI""}"
ANL,0001944552,Adlai Nortye Ltd.,CYM,Cayman Islands,Limited,2025.0,000121390025037591.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\ANL""}"
ATAT,0001853717,Atour Lifestyle Holdings Limited,CYM,Cayman Islands,Limited,2025.0,000141057825000890.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\ATAT""}"
ATHM,0001527636,Autohome Inc.,CYM,Cayman Islands,Corporation,2025.0,000095017025053940.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\ATHM""}"
ATXG,0001650101,ADDENTAX GROUP CORP.,USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\ATXG\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
AZI,0001959726,AUTOZI INTERNET TECHNOLOGY (GLOBAL) LTD.,CYM,Cayman Islands,Limited,2025.0,000149315225003767.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\AZI""}"
BABA,0001577552,Alibaba Group Holding Limited,CYM,Cayman Islands,Limited,2025.0,000095017025090161.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BABA""}"
