ticker,cik10,registrant_name,incorp_country_raw,incorp_state_raw,legal_form,trading_symbol,filer_category,latest_period_end
BABA,0001577552,,,,,,,
PDD,0001737806,,,,,,,
NTES,0001110646,,,,,,,
JD,0001549802,,,,,,,
TCOM,0001269238,,,,,,,
BIDU,0001329099,,,,,,,
LI,0001791706,,,,,,,
BEKE,0001809587,,,,,,,
ONC,0001651308,,,,,,,
TME,0001744676,,,,,,,
XPEV,0001810997,,,,,,,
YUMC,0001673358,,,,,,,
ZTO,0001677250,,,,,,,
YMM,0001838413,,,,,,,
HTHT,0001483994,,,,,,,
BILI,0001723690,,,,,,,
NIO,0001736541,,,,,,,
TAL,0001499620,,,,,,,
EDU,0001372920,,,,,,,
ZK,0001954042,,,,,,,
BZ,0001842827,,,,,,,
GDS,0001526125,,,,,,,
QFIN,0001741530,,,,,,,
MNSO,0001815846,,,,,,,
PONY,0001969302,,,,,,,
WRD,0001867729,,,,,,,
KC,0001795589,,,,,,,
ATAT,0001853717,,,,,,,
ZLAB,0001704292,,,,,,,
ATHM,0001527636,,,,,,,
VNET,0001508475,,,,,,,
HCM,0001648257,,,,,,,
TUYA,0001829118,,,,,,,
LU,0001816007,,,,,,,
WB,0001595761,,,,,,,
YY,PENDING,,,,,,,
IQ,0001722608,,,,,,,
HSAI,0001861737,,,,,,,
FINV,0001691445,,,,,,,
LZMH,0001967397,,,,,,,
AAPG,0002023311,,,,,,,
ACMR,0001680062,,,,,,,
LX,0001708259,,,,,,,
EH,0001759783,,,,,,,
TIGR,0001756699,,,,,,,
MOMO,0001610601,,,,,,,
DQ,0001477641,,,,,,,
JKS,0001481513,,,,,,,
BGM,0001779578,,,,,,,
HUYA,0001728190,,,,,,,
GOTU,0001768259,,,,,,,
NOAH,0001499543,,,,,,,
UXIN,0001729173,,,,,,,
RERE,0001838957,,,,,,,
MSC,0001713334,,,,,,,
DDL,0001854545,,,,,,,
CSIQ,0001375877,,,,,,,
YALA,0001794350,,,,,,,
GCT,0001857816,,,,,,,
FLX,0001858724,,,,,,,
YRD,0001631761,,,,,,,
ZKH,0001862044,,,,,,,
XYF,0001725033,,,,,,,
AHG,0001702318,,,,,,,
QD,0001692705,,,,,,,
JFIN,0001743102,,,,,,,
WYHG,0001999860,,,,,,,
ZH,0001835724,,,,,,,
DADA,PENDING,,,,,,,
SOHU,0001734107,,,,,,,
WDH,0001823986,,,,,,,
CAN,0001780652,,,,,,,
AAM,0002012964,,,,,,,
YSG,0001819580,,,,,,,
DOGZ,0001707303,,,,,,,
CANG,0001725123,,,,,,,
JYD,0001938186,,,,,,,
MFH,0001527762,,,,,,,
ZJK,0001941506,,,,,,,
EM,0001834253,,,,,,,
XNET,0001510593,,,,,,,
XHG,0001769256,,,,,,,
GHG,0001724755,,,,,,,
OCFT,0001780531,,,,,,,
ICG,0001895597,,,,,,,
NAMI,0001967631,,,,,,,
ZYBT,0001975641,,,,,,,
PHH,0001986247,,,,,,,
BZUN,0001625414,,,,,,,
NIU,0001744781,,,,,,,
NTCL,0001927578,,,,,,,
HCAI,0001958399,,,,,,,
CMCM,0001597835,,,,,,,
TOUR,0001597095,,,,,,,
KNDI,0001720250,,,,,,,
CAAS,0002037400,,,,,,,
QH,0001781193,,,,,,,
QSG,0001932770,,,,,,,
ZJYL,0001837821,,,,,,,
NCTY,0001296774,,,,,,,
COE,0001659494,,,,,,,
IH,0001814423,,,,,,,
VIOT,0001742770,,,,,,,
EPWK,0001900720,,,,,,,
THCH,0001877333,,,,,,,
GLAC,PENDING,,,,,,,
PAVS,0001751876,,,,,,,
,PENDING,,,,,,,
LUD,0001984124,,,,,,,
SY,0001758530,,,,,,,
HUHU,0001945415,,,,,,,
ADAG,0001818838,,,,,,,
CCG,0001965473,,,,,,,
LSE,0001985139,,,,,,,
ABLV,0001957489,,,,,,,
ANL,0001944552,,,,,,,
STG,0001723935,,,,,,,
SFWL,0001863218,,,,,,,
CBAT,0001117171,,,,,,,
WETO,0001941158,,,,,,,
MATH,0001682241,,,,,,,
YIBO,0001868395,,,,,,,
SOL,0001417892,,,,,,,
FVNNU,0002010653,,,,,,,
FNGR,0001602409,,,,,,,
XCH,0001979887,,,,,,,
WIMI,0001770088,,,,,,,
AZI,0001959726,,,,,,,
ICLK,PENDING,,,,,,,
CNF,0001733868,,,,,,,
YGMZ,0001782037,,,,,,,
YSXT,0001993463,,,,,,,
GMM,0001913749,,,,,,,
YAAS,0001964946,,,,,,,
YXT,0001872090,,,,,,,
JG,0001737339,,,,,,,
BNR,0001792267,,,,,,,
BEST,PENDING,,,,,,,
JZXN,0001816172,,,,,,,
